WKT	STATEFP	COUNTYFP	TLID	TFIDL	TFIDR	MTFCC	FULLNAME	SMID	LFROMADD	LTOADD	RFROMADD	RTOADD	ZIPL	ZIPR	FEATCAT	HYDROFLG	RAILFLG	ROADFLG	OLFFLG	PASSFLG	DIVROAD	EXTTYP	TTYP	DECKEDROAD	ARTPATH	PERSIST	GCSEFLG	OFFSETL	OFFSETR	TNIDF	TNIDT
Known text: Sistema de coordenadas	Estado pelo ID	Código FIP	ID de borda permanente	ID da face permanente à esquerda da borda	ID da face permanente à direita da borda	Código principal da face	Nome completo	Metadados espaciais:	Número da casa a partir de um endereço lado direito da borda	Número da casa no lado esquerdo da borda	Número da casa a partir de um endereço no lado direito da borda	Número da casa no lado direito da borda	Código ZIP do endereço do lado esquerdo	Código ZIP do endereço do lado direito	Categoria de classificação de características gerais	Indicador de recurso hidráulico	Indicador de recurso ferroviário	Indicador de recurso de estrada	indicador de característica linear	Flag de passagem especial	Flags de estradas divididas	Tipo de extensões	Tipos de pacotes	Indicador de estrada pavimentada	Indicadores de pacotes artificiais	Flag p/ persistências geográfica	Flag para corredores geograficos	Flag para lado esquerdo	Sinalizador de deslocamento para face dolado direito de uma determinada aresta	Nó permanete começo	Nó permanente para uma borda
"""LINESTRING (-86.614481 32.509721,-86.614546 32.509774,-86.614596 32.509831,-86.614635 32.509898,-86.614692 32.510035,-86.61478 32.51016,-86.614877 32.510281,-86.614946 32.510416,-86.614973 32.510561,-86.614971 32.510635,-86.614922 32.510775,-86.614875 32.510835,-86.614766 32.510948,-86.614676 32.511072,-86.614604 32.511203)"""	1	1	2850968	215950772	215950772	S1400	Wainwright Rd	3132							S	N	N	Y	N		N	N		N	N		N	N	N	42398209	42401081
